-112.20126,33.49472,AZ
-112.17032,33.48036,AZ
-112.15482,33.48063,AZ
-112.13658,33.50961,AZ
-112.13562,33.5674,AZ
-112.13398,33.6093,AZ
-112.13116,33.63984,AZ
-112.11753,33.67002,AZ
-112.09984,33.5547,AZ
-112.09925,33.49495,AZ
-112.07314,33.39911,AZ
-112.07266,33.45567,AZ
-112.0676,33.60783,AZ
-112.0657,33.65423,AZ
-112.06008,33.5715,AZ
-112.05309,33.43419,AZ
-112.04762,33.52292,AZ
-112.04755,33.4794,AZ
-112.03003,33.64072,AZ
-112.01625,33.30497,AZ
-112.00816,33.58241,AZ
-112.00392,33.4806,AZ
-111.99867,33.6118,AZ
-111.98689,33.4659,AZ
-111.9864,33.49471,AZ
-111.98056,33.34821,AZ
-111.98014,33.39262,AZ
-111.97982,33.32004,AZ
-111.97845,33.40468,AZ
-112.33585,34.58557,AZ
-112.48818,34.56299,AZ
-112.45219,34.54515,AZ
-111.68602,33.27103,AZ
-111.55539,33.16164,AZ
-114.78585,32.49416,AZ
-110.63024,32.60061,AZ
-111.94522,33.64024,AZ
-111.92649,33.4885,AZ
-111.92631,33.57993,AZ
-111.90584,33.46605,AZ
-111.83839,33.58769,AZ
-111.79925,34.86333,AZ
-110.02327,34.20921,AZ
-112.276,33.63829,AZ
-112.42175,33.63908,AZ
-112.35413,33.63885,AZ
-111.95036,33.40752,AZ
-111.91674,33.40771,AZ
-111.91291,33.36392,AZ
-112.27238,33.4367,AZ
-111.05359,32.33733,AZ
-111.01296,32.34638,AZ
-111.00403,32.13362,AZ
-110.9974,32.22905,AZ
-110.97795,32.27732,AZ
-110.97786,32.17767,AZ
-110.97679,32.31595,AZ
-110.95745,32.39837,AZ
-110.94399,32.26019,AZ
-110.89355,32.30859,AZ
-110.8922,32.23603,AZ
-110.84164,32.23531,AZ
-109.83768,32.26429,AZ
-112.19221,35.25845,AZ
-110.70024,35.04098,AZ
-114.61514,32.66957,AZ
-118.76064,34.14743,CA
-118.13484,34.10597,CA
-118.13438,34.07898,CA
-117.5937,34.12329,CA
-118.13176,34.18406,CA
-117.9761,33.82843,CA
-117.94126,33.8034,CA
-117.92551,33.84706,CA
-117.91369,33.78904,CA
-117.88909,33.84089,CA
-117.88754,33.81823,CA
-121.82214,37.99776,CA
-117.20969,34.47127,CA
-118.02779,34.15117,CA
-118.02579,34.10827,CA
-118.08236,33.86522,CA
-120.59731,37.36031,CA
-120.59564,37.35931,CA
-120.58881,37.36066,CA
-121.05927,38.92318,CA
-117.89027,34.12684,CA
-119.07247,35.31838,CA
-119.0591,35.35403,CA
-119.05532,35.32514,CA
-119.03649,35.33206,CA
-119.02146,35.42707,CA
-118.95219,35.39769,CA
-118.9482,35.37611,CA
-117.9698,34.08392,CA
-116.89706,33.92528,CA
-117.02394,34.88422,CA
-118.18766,33.97204,CA
-118.18578,33.96185,CA
-118.16309,33.9753,CA
-118.14,33.88914,CA
-114.60566,33.60932,CA
-121.71826,37.92044,CA
-117.99787,33.86087,CA
-117.99491,33.885,CA
-118.3432,34.16928,CA
